RISKCODE,KINDCODE,AGE,SEX,USEYEARS,policycode,YEARS,Device_ID,Counts
交强险,交强险,33,1,5,P1,1,863158020782340,0
交强险,交强险,36,2,3,P2,0.515068493150685,863158020783777,0
交强险,交强险,32,1,3,P3,0.128767123287671,863158020785418,0
交强险,交强险,33,1,6,P4,0.191780821917808,863158020782340,0
商业险费改前,车损险,34,1,7,P6,1,863158020786267,0
商业险费改前,三者险,34,1,7,P6,1,863158020786267,0
商业险费改前,三者险,33,1,5,P7,1,863158020782340,0
商业险费改前,车损险,33,1,5,P7,1,863158020782340,0
商业险费改前,玻璃破碎险,33,1,5,P7,1,863158020782340,0
商业险费改后,三者险,36,2,3,P8,0.515068493150685,863158020783777,0
商业险费改后,划痕险,36,2,3,P8,0.515068493150685,863158020783777,0
商业险费改后,玻璃破碎险,36,2,3,P8,0.515068493150685,863158020783777,0
商业险费改后,车上人员险驾驶,36,2,3,P8,0.515068493150685,863158020783777,0
商业险费改后,车损险,36,2,3,P8,0.515068493150685,863158020783777,0
商业险费改后,车上人员险乘客,36,2,3,P8,0.515068493150685,863158020783777,0
商业险费改后,车损险,32,1,3,P9,0.128767123287671,863158020785418,0
商业险费改后,车上人员险驾驶,32,1,3,P9,0.128767123287671,863158020785418,0
商业险费改后,三者险,32,1,3,P9,0.128767123287671,863158020785418,0
商业险费改后,车上人员险乘客,32,1,3,P9,0.128767123287671,863158020785418,0
商业险费改后,玻璃破碎险,33,1,6,P10,0.191780821917808,863158020782340,0
商业险费改后,车损险,33,1,6,P10,0.191780821917808,863158020782340,0
商业险费改后,三者险,33,1,6,P10,0.191780821917808,863158020782340,0
交强险,交强险,31,1,4,P11,1,863158020782779,0
交强险,交强险,26,1,1,P12,1,863158020786119,0
交强险,交强险,28,2,1,P13,0.232876712328767,863158020786119,0
商业险费改前,盗抢险,31,1,4,P14,1,863158020782779,0
商业险费改前,车上人员险驾驶,31,1,4,P14,1,863158020782779,0
商业险费改前,三者险,31,1,4,P14,1,863158020782779,0
商业险费改前,车上人员险乘客,31,1,4,P14,1,863158020782779,0
商业险费改前,车损险,31,1,4,P14,1,863158020782779,0
商业险费改前,玻璃破碎险,31,1,4,P14,1,863158020782779,0
商业险费改前,车损险,26,1,1,P15,1,863158020786119,0
商业险费改前,三者险,26,1,1,P15,1,863158020786119,0
商业险费改前,划痕险,26,1,1,P15,1,863158020786119,0
商业险费改前,玻璃破碎险,26,1,1,P15,1,863158020786119,0
商业险费改后,车损险,28,2,1,P16,0.232876712328767,863158020786119,0
商业险费改后,玻璃破碎险,28,2,1,P16,0.232876712328767,863158020786119,0
商业险费改后,三者险,28,2,1,P16,0.232876712328767,863158020786119,0
交强险,交强险,27,1,2,P17,1,863158020754356,1
交强险,交强险,36,2,5,P18,1,863158020784460,0
交强险,交强险,49,1,3,P19,1,863158026703381,0
交强险,交强险,23,1,1,P20,1,863158026709198,0
交强险,交强险,25,1,0,P21,1,863158020786119,0
交强险,交强险,28,1,3,P22,1,863158020754356,0
交强险,交强险,35,1,8,P23,1,863158020786267,0
交强险,交强险,28,1,3,P24,1,863158020782373,1
交强险,交强险,33,1,4,P25,1,863158020786648,1
交强险,交强险,33,1,5,P26,0.104109589041096,863158020786648,0
商业险费改前,车损险,25,1,0,P27,1,863158020786119,0
商业险费改前,玻璃破碎险,25,1,0,P27,1,863158020786119,0
商业险费改前,划痕险,25,1,0,P27,1,863158020786119,0
商业险费改前,三者险,25,1,0,P27,1,863158020786119,0
商业险费改前,车上人员险驾驶,36,2,5,P28,1,863158020784460,0
