KINDCODE,DAMAGEDATE,REPORTDATE,ENDCASEDATE,inc,policycode,claimcode
交强险,09FEB2015:21:00:00,09FEB2015:21:56:00,10FEB2015:15:23:34,2100,P17,C1
交强险,23AUG2016:13:15:00,23AUG2016:13:21:00,24AUG2016:15:30:30,1700,P25,C2
交强险,07JAN2017:10:35:00,07JAN2017:10:41:00,17JAN2017:11:33:46,2100,P24,C3
车损险,12MAY2015:23:55:00,12MAY2015:23:58:00,13MAY2015:13:52:57,2000,P31,C4
划痕险,06JUL2015:18:00:00,07JUL2015:10:20:00,07JUL2015:14:07:11,1200,P30,C5
车损险,22SEP2015:12:00:00,22SEP2015:14:32:00,22SEP2015:17:23:46,850,P31,C6
三者险,23AUG2016:13:15:00,23AUG2016:13:21:00,24AUG2016:15:30:30,0,P34,C7
车损险,20NOV2016:10:00:00,20NOV2016:15:31:00,21NOV2016:16:27:09,1650,P32,C8
三者险,07JAN2017:10:35:00,07JAN2017:10:41:00,17JAN2017:11:33:46,600,P33,C9
车损险,07JAN2017:10:35:00,07JAN2017:10:41:00,17JAN2017:11:33:46,5470,P33,C9
车损险,28FEB2017:22:00:00,28FEB2017:23:50:00,01MAR2017:10:32:50,0,P34,C10
交强险,05NOV2015:09:25:00,05NOV2015:09:32:00,17NOV2015:14:41:30,2100,P40,C11
交强险,15NOV2015:16:35:00,15NOV2015:17:02:00,17NOV2015:11:13:24,1100,P39,C12
交强险,17NOV2015:07:30:00,17NOV2015:07:38:00,18NOV2015:09:11:51,1400,P40,C13
交强险,26NOV2015:09:30:00,26NOV2015:09:38:00,02DEC2015:10:29:14,100,P45,C14
交强险,10FEB2017:19:00:00,10FEB2017:19:08:00,18FEB2017:10:37:30,900,P50,C15
车损险,25APR2015:20:00:00,26APR2015:15:47:00,26APR2015:17:42:00,2878,P58,C16
车损险,01AUG2015:09:30:00,01AUG2015:10:45:00,01AUG2015:15:56:10,600,P69,C17
车损险,05NOV2015:09:25:00,05NOV2015:09:31:00,19NOV2015:15:02:05,3700,P62,C18
三者险,05NOV2015:09:25:00,05NOV2015:09:31:00,19NOV2015:15:02:05,3000,P62,C18
车损险,15NOV2015:16:35:00,15NOV2015:17:02:00,17NOV2015:11:13:24,1500,P60,C19
三者险,15NOV2015:16:35:00,15NOV2015:17:02:00,17NOV2015:11:13:24,0,P60,C19
车损险,17NOV2015:07:30:00,17NOV2015:07:38:00,17NOV2015:14:53:38,2300,P62,C20
车损险,26NOV2015:09:30:00,26NOV2015:09:38:00,02DEC2015:10:29:14,1700,P67,C21
车损险,13FEB2016:07:08:22,13FEB2016:07:10:26,04MAR2016:15:20:58,5200,P67,C22
三者险,10FEB2017:19:00:00,10FEB2017:19:08:00,18FEB2017:10:37:30,0,P73,C23
车损险,04FEB2017:20:00:00,05FEB2017:13:58:00,,130000,P76,C24
交强险,17JUN2015:08:15:00,17JUN2015:08:31:00,17JUN2015:13:15:29,700,P86,C25
交强险,26AUG2015:18:00:00,26AUG2015:18:14:00,26AUG2015:20:38:22,600,P82,C26
交强险,09JUN2016:10:25:00,09JUN2016:10:35:00,09JUN2016:16:19:34,400,P92,C27
交强险,06OCT2016:11:25:00,06OCT2016:11:52:00,06OCT2016:16:16:22,750,P91,C28
交强险,12MAR2017:12:52:00,12MAR2017:17:35:00,13MAR2017:10:09:05,2000,P93,C29
车损险,17JUN2015:08:15:00,17JUN2015:08:31:00,17JUN2015:13:15:29,400,P102,C30
三者险,17JUN2015:08:15:00,17JUN2015:08:31:00,17JUN2015:13:15:29,0,P102,C30
三者险,26AUG2015:18:00:00,26AUG2015:18:14:00,26AUG2015:20:38:22,0,P99,C31
车损险,29NOV2015:16:10:00,29NOV2015:17:14:00,30NOV2015:18:53:31,455,P99,C32
车损险,11JAN2016:08:45:00,11JAN2016:08:53:00,11JAN2016:15:56:57,1040,P102,C33
车损险,20JUN2014:15:00:00,20JUN2014:15:06:00,04AUG2014:15:13:23,720,P105,C34
车损险,09AUG2014:00:15:00,09AUG2014:00:19:00,09AUG2014:13:15:21,1300,P106,C35
车损险,20SEP2014:11:45:00,20SEP2014:15:58:00,22SEP2014:11:45:07,490,P103,C36
三者险,09JUN2016:10:25:00,09JUN2016:10:35:00,09JUN2016:16:19:34,0,P113,C37
三者险,06OCT2016:11:25:00,06OCT2016:11:52:00,06OCT2016:16:16:22,0,P112,C38
三者险,12MAR2017:12:52:00,12MAR2017:17:35:00,13MAR2017:10:09:05,0,P114,C39
车损险,05JUN2017:10:00:00,05JUN2017:10:23:00,06JUN2017:09:49:15,1400,P116,C40
车损险,13JUN2017:08:40:00,13JUN2017:08:47:00,,11500,P117,C41
交强险,05NOV2015:07:55:00,05NOV2015:08:01:00,19NOV2015:11:05:54,2100,P138,C42
车损险,05NOV2015:07:55:00,05NOV2015:08:01:00,19NOV2015:11:06:24,13400,P139,C43
三者险,05NOV2015:07:55:00,05NOV2015:08:01:00,19NOV2015:11:06:24,200,P139,C43
交强险,25JAN2017:15:45:00,25JAN2017:15:50:00,25JAN2017:21:43:18,1000,P143,C44
车损险,12NOV2014:12:40:00,12NOV2014:12:41:00,12NOV2014:16:45:07,3360,P148,C45
划痕险,12MAR2015:10:20:00,12MAR2015:10:27:00,12MAR2015:15:54:42,5000,P148,C46
车损险,28MAR2015:11:10:00,28MAR2015:11:17:00,28MAR2015:17:37:14,400,P149,C47
车损险,12DEC2015:12:00:00,12DEC2015:14:52:00,12DEC2015:15:24:31,3499.3,P150,C48
