BRANCHNAME,RISKCODE,KINDCODE,UNDERWRITEENDDATE,KINDSTARTDATE,DUEENDDATE,PURCHASEPRICENOTAX,SEATCOUNT,CARBRAND,CARSERIESNAME,AGE,SEX,USEYEARS,WPRATE0506,WPRATE0507,LASTCLAIMCOUNT,AMOUNTNEW,FLAG,PREMIUM,policycode
北京分公司,交强险,交强险,16MAR2016:00:00:00,23MAR2016:00:00:00,22MAR2017:00:00:00,111800.00,5,大众,宝来,33,1,5,1,0.7,0,122000,0,569.89,P1
北京分公司,交强险,交强险,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1,1,1,122000,0,913.66,P2
北京分公司,交强险,交强险,09FEB2017:00:00:00,15APR2017:00:00:00,14APR2018:00:00:00,138600.00,5,斯柯达,明锐,32,1,3,1,0.9,0,122000,0,730.92,P3
北京分公司,交强险,交强险,10MAR2017:00:00:00,23MAR2017:00:00:00,22MAR2018:00:00:00,111800.00,5,大众,宝来,33,1,6,1,0.7,0,122000,0,581.88,P4
北京分公司,商业险费改前,车损险,12DEC2014:00:00:00,13DEC2014:00:00:00,12DEC2015:00:00:00,214800.00,5,马自达,M6,34,1,7,0.85,1,0,206200,1,1802.73,P6
北京分公司,商业险费改前,三者险,12DEC2014:00:00:00,13DEC2014:00:00:00,12DEC2015:00:00:00,214800.00,5,马自达,M6,34,1,7,0.85,1,0,500000,1,862,P6
北京分公司,商业险费改前,三者险,16MAR2016:00:00:00,23MAR2016:00:00:00,22MAR2017:00:00:00,111800.00,5,大众,宝来,33,1,5,0.6,1,0,200000,1,449.06,P7
北京分公司,商业险费改前,车损险,16MAR2016:00:00:00,23MAR2016:00:00:00,22MAR2017:00:00:00,111800.00,5,大众,宝来,33,1,5,0.6,1,0,111800,1,768.78,P7
北京分公司,商业险费改前,玻璃破碎险,16MAR2016:00:00:00,23MAR2016:00:00:00,22MAR2017:00:00:00,111800.00,5,大众,宝来,33,1,5,0.6,1,0,0,0,87.75,P7
北京分公司,商业险费改后,三者险,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1.5,1,3,200000,1,1178.04,P8
北京分公司,商业险费改后,划痕险,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1.5,1,3,5000,1,921.19,P8
北京分公司,商业险费改后,玻璃破碎险,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1.5,1,3,0,0,559.67,P8
北京分公司,商业险费改后,车上人员险驾驶,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1.5,1,3,10000,1,44.43,P8
北京分公司,商业险费改后,车损险,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1.5,1,3,195152.4,1,3348.83,P8
北京分公司,商业险费改后,车上人员险乘客,17NOV2016:00:00:00,25NOV2016:00:00:00,24NOV2017:00:00:00,271800.00,5,大众,途观,36,2,3,1.5,1,3,40000,1,112.71,P8
北京分公司,商业险费改后,车损险,09FEB2017:00:00:00,15APR2017:00:00:00,14APR2018:00:00:00,138600.00,5,斯柯达,明锐,32,1,3,1,1,1,109494,1,1602.94,P9
北京分公司,商业险费改后,车上人员险驾驶,09FEB2017:00:00:00,15APR2017:00:00:00,14APR2018:00:00:00,138600.00,5,斯柯达,明锐,32,1,3,1,1,1,10000,1,29.62,P9
北京分公司,商业险费改后,三者险,09FEB2017:00:00:00,15APR2017:00:00:00,14APR2018:00:00:00,138600.00,5,斯柯达,明锐,32,1,3,1,1,1,500000,1,1063.52,P9
北京分公司,商业险费改后,车上人员险乘客,09FEB2017:00:00:00,15APR2017:00:00:00,14APR2018:00:00:00,138600.00,5,斯柯达,明锐,32,1,3,1,1,1,40000,1,75.14,P9
北京分公司,商业险费改后,玻璃破碎险,10MAR2017:00:00:00,23MAR2017:00:00:00,22MAR2018:00:00:00,111800.00,5,大众,宝来,33,1,6,0.5,1,0,0,0,76.79,P10
北京分公司,商业险费改后,车损险,10MAR2017:00:00:00,23MAR2017:00:00:00,22MAR2018:00:00:00,111800.00,5,大众,宝来,33,1,6,0.5,1,0,64173.2,1,590.12,P10
北京分公司,商业险费改后,三者险,10MAR2017:00:00:00,23MAR2017:00:00:00,22MAR2018:00:00:00,111800.00,5,大众,宝来,33,1,6,0.5,1,0,200000,1,392.96,P10
北京分公司,交强险,交强险,07DEC2015:00:00:00,14DEC2015:00:00:00,13DEC2016:00:00:00,113900.00,5,标致,408,31,1,4,1,0.7,0,122000,0,637.75,P11
北京分公司,交强险,交强险,11JAN2016:00:00:00,08MAR2016:00:00:00,07MAR2017:00:00:00,139900.00,5,雪铁龙,C5,26,1,1,1,0.9,0,122000,0,842.02,P12
北京分公司,交强险,交强险,29DEC2016:00:00:00,08MAR2017:00:00:00,07MAR2018:00:00:00,139900.00,5,雪铁龙,C5,28,2,1,1,0.8,0,122000,0,623.87,P13
北京分公司,商业险费改前,盗抢险,07DEC2015:00:00:00,13DEC2015:00:00:00,12DEC2016:00:00:00,113900.00,5,标致,408,31,1,4,0.7,1,0,81780.2,0,266.73,P14
